model,mode,samples,ok,unsupported,errors,error_rate,exact_match,exact_match_norm,avg_similarity_char,avg_similarity_token,syntax_valid,avg_latency_ms,median_latency_ms,p95_latency_ms,avg_ttft_ms,total_prompt_tokens,total_completion_tokens,total_cost_usd
local-chat-only,chat,4,4,0,0,0.0,0.0,0.0,0.5999960047689238,0.6684602283757788,1.0,9097.27098725125,9061.178457001006,9110.799866000889,7631.820713500019,894,162,
local-chat-only,fim,4,0,4,0,0.0,,,,,,,,,,0,0,
local-qwen30b,chat,4,4,0,0,0.0,0.0,0.0,0.5999960047689238,0.6684602283757788,1.0,8534.450366500096,8566.710652001348,8989.3762540014,7068.270908499471,894,162,
local-qwen30b,fim,4,4,0,0,0.0,0.0,0.25,0.6110652448113748,0.6653297682709447,1.0,4125.6408327508325,4686.691347500528,5309.933632001048,4125.6271252495935,0,0,
